Time(s),Latitude(deg),Longitude(deg),Height(m),North(m/s),East(m/s),Down(m/s)
126.000000,51.509514,-0.160996,34.129668,-1.251331,0.005380,-0.016121
126.500000,51.509500,-0.161004,37.282726,-1.270802,0.035119,-0.034151
127.000000,51.509504,-0.160996,33.555949,-1.226668,-0.000834,0.014942
127.500000,51.509490,-0.161017,37.725827,-1.214237,0.019940,0.004626
128.000000,51.509510,-0.160992,38.091743,-1.232995,-0.009079,0.019642
128.500000,51.509503,-0.160994,32.912992,-1.242337,0.034854,0.004957
129.000000,51.509471,-0.160983,33.316569,-1.256177,0.005937,-0.006183
129.500000,51.509471,-0.160988,37.789212,-1.225446,-0.018054,-0.029286
130.000000,51.509478,-0.160968,35.127151,-1.267907,-0.015045,-0.034772
130.500000,51.509473,-0.160976,34.498793,-1.272669,-0.010437,0.006365
131.000000,51.509468,-0.160991,41.406992,-1.258984,-0.017684,0.019586
131.500000,51.509460,-0.161020,37.330109,-1.243277,-0.019312,0.032744
132.000000,51.509453,-0.160969,41.052252,-1.267172,-0.004169,-0.027839
132.500000,51.509428,-0.161000,43.294936,-1.242627,0.024522,0.039110
133.000000,51.509437,-0.160931,35.363728,-1.255912,0.032552,0.028184
133.500000,51.509430,-0.161015,33.733832,-1.247704,0.052875,-0.042876
134.000000,51.509419,-0.161006,34.700605,-1.268514,0.053733,-0.013948
134.500000,51.509402,-0.161014,36.285482,-1.229971,0.042168,-0.034806
135.000000,51.509426,-0.160988,39.970379,-1.217754,0.024069,-0.013822
135.500000,51.509408,-0.160997,37.300926,-1.239321,-0.009337,-0.015297
136.000000,51.509413,-0.161010,35.801988,-1.255913,-0.003831,0.033587
136.500000,51.509412,-0.160991,38.478901,-1.261998,0.019080,-0.000823
137.000000,51.509418,-0.160979,40.339519,-1.253808,0.023155,0.000855
137.500000,51.509386,-0.161005,35.346232,-1.244478,0.022091,0.050332
138.000000,51.509417,-0.160976,40.715411,-1.228650,0.007845,0.045990
138.500000,51.509367,-0.160974,39.475237,-1.252466,0.030855,-0.030550
139.000000,51.509392,-0.161015,40.469055,-1.240196,0.030414,-0.030263
139.500000,51.509356,-0.160985,41.571332,-1.239183,0.025167,0.004092
140.000000,51.509375,-0.160985,36.028148,-1.272423,0.029017,0.004173
140.500000,51.509363,-0.161001,37.519758,-1.274827,0.026226,-0.030837
141.000000,51.509345,-0.161009,34.024266,-1.237655,0.031310,-0.016069
141.500000,51.509344,-0.160991,36.336597,-1.235374,-0.022297,0.025063
142.000000,51.509352,-0.161011,35.354304,-1.267330,-0.006621,0.029258
142.500000,51.509314,-0.160963,36.599673,-1.262164,0.021876,0.015832
143.000000,51.509324,-0.161011,39.952974,-1.259407,-0.012501,0.105135
143.500000,51.509339,-0.161031,34.078854,-1.249945,-0.014497,0.028396
144.000000,51.509306,-0.160993,41.112751,-1.224007,-0.001313,0.009046
144.500000,51.509312,-0.161000,39.938740,-1.264367,0.011674,-0.013694
145.000000,51.509282,-0.160967,35.531491,-1.245140,0.028862,-0.050542
145.500000,51.509306,-0.160976,39.509318,-1.250882,-0.002316,-0.013142
146.000000,51.509297,-0.161012,36.443656,-1.270698,0.035664,-0.012527
146.500000,51.509295,-0.160979,41.895206,-1.249758,-0.015536,-0.020571
147.000000,51.509276,-0.160991,36.539584,-1.226060,0.021352,-0.031428
147.500000,51.509267,-0.160973,34.167053,-1.281252,0.014993,0.005304
148.000000,51.509273,-0.160992,35.097508,-1.258089,0.037271,-0.042505
148.500000,51.509257,-0.161008,38.819360,-1.275878,0.010763,-0.030909
149.000000,51.509257,-0.161029,35.705495,-1.269684,0.019601,0.004524
149.500000,51.509257,-0.160975,37.071025,-1.020886,0.009716,0.039599
150.000000,51.509258,-0.160975,34.567633,-0.760728,0.011436,-0.017079
150.500000,51.509246,-0.160958,41.566560,-0.496275,-0.022596,0.027720
151.000000,51.509232,-0.160992,35.083841,-0.252532,-0.040967,0.020666
151.500000,51.509238,-0.161017,33.253458,-0.230916,0.041908,0.012995
152.000000,51.509239,-0.160952,36.320966,-0.206218,0.148605,-0.031916
152.500000,51.509237,-0.161028,35.652348,-0.167809,0.152832,-0.037476
153.000000,51.509245,-0.160984,35.696793,-0.127726,0.216080,-0.008237
153.500000,51.509246,-0.160973,34.121199,-0.066239,0.233444,-0.003716
154.000000,51.509238,-0.160987,41.074676,-0.008368,0.227231,0.014929
154.500000,51.509278,-0.161001,36.323020,0.049269,0.252891,-0.010275
155.000000,51.509239,-0.160960,39.656208,0.122621,0.216688,-0.024031
155.500000,51.509241,-0.160985,41.413855,0.163950,0.174509,0.013649
156.000000,51.509250,-0.160973,38.286516,0.219837,0.124632,-0.008807
156.500000,51.509239,-0.160957,35.260625,0.212735,0.064305,-0.005057
157.000000,51.509244,-0.160953,37.035366,0.251463,0.005833,-0.001353
157.500000,51.509237,-0.160960,35.202599,0.502920,-0.017785,-0.067421
158.000000,51.509241,-0.160949,37.477636,0.747681,-0.030275,0.021365
158.500000,51.509243,-0.161017,39.533293,1.019554,-0.026091,-0.001174
159.000000,51.509262,-0.160974,39.345004,1.246449,-0.014256,0.004597
159.500000,51.509250,-0.160939,31.866810,1.240830,-0.000045,0.002815
160.000000,51.509272,-0.160984,36.088898,1.257749,-0.024748,-0.016788
160.500000,51.509276,-0.160994,33.816195,1.256054,0.003444,-0.060174
161.000000,51.509283,-0.160986,40.382849,1.259800,0.015575,-0.066744
161.500000,51.509287,-0.160971,41.550996,1.240497,0.018077,-0.001029
162.000000,51.509289,-0.160958,41.340947,1.232273,0.018814,-0.015578
162.500000,51.509298,-0.160986,37.176508,1.256779,0.012001,-0.010306
163.000000,51.509321,-0.160980,38.293608,1.259538,-0.017237,0.004030
163.500000,51.509280,-0.160991,37.677706,1.238411,0.019754,0.039343
164.000000,51.509315,-0.160955,40.643170,1.271398,-0.015291,0.027359
164.500000,51.509322,-0.160970,37.291681,1.258644,-0.003132,0.029795
165.000000,51.509337,-0.160987,36.444061,1.256248,-0.003496,0.023008
165.500000,51.509350,-0.161010,37.620433,1.258145,0.006762,0.030821
166.000000,51.509327,-0.160957,37.477891,1.269008,0.022914,-0.061668
166.500000,51.509326,-0.160979,32.789085,1.262988,-0.000112,-0.058863
167.000000,51.509341,-0.160993,35.829803,1.241839,0.026894,-0.022661
167.500000,51.509357,-0.160997,35.701544,1.232581,0.001594,-0.028947
168.000000,51.509364,-0.160939,35.789457,1.261752,0.013131,-0.049143
168.500000,51.509372,-0.161023,34.858843,1.249961,-0.012616,0.000294
169.000000,51.509375,-0.160968,33.394427,1.263591,-0.028914,-0.016736
169.500000,51.509360,-0.160962,38.277789,1.242535,-0.008006,-0.057407
170.000000,51.509400,-0.161014,33.500237,1.232909,-0.006539,-0.024614
170.500000,51.509389,-0.160960,35.463230,1.251231,-0.012257,-0.058886
171.000000,51.509402,-0.160980,33.824612,1.224008,-0.002158,0.036810
171.500000,51.509421,-0.160998,40.764716,1.220132,-0.013182,0.014378
172.000000,51.509382,-0.160967,34.323862,1.239985,-0.005816,-0.014213
172.500000,51.509422,-0.161004,36.967078,1.235057,-0.000525,0.033296
173.000000,51.509426,-0.160998,35.787533,1.229164,0.034691,-0.031187
173.500000,51.509437,-0.160937,35.531805,1.244663,-0.000152,-0.004215
174.000000,51.509400,-0.160960,39.679292,1.256635,0.018120,0.003281
174.500000,51.509427,-0.160976,39.388907,1.260392,0.019212,-0.010274
175.000000,51.509457,-0.160961,41.327843,1.227584,-0.013530,0.027472
175.500000,51.509462,-0.161011,35.808200,1.265455,-0.009091,0.023206
176.000000,51.509449,-0.160951,39.233726,1.258265,0.039087,-0.059645
176.500000,51.509447,-0.160973,33.440229,1.266106,-0.012682,0.007086
177.000000,51.509460,-0.160989,34.327328,1.233646,0.012439,0.004357
177.500000,51.509467,-0.160953,43.270099,1.236696,0.040118,-0.034132
178.000000,51.509468,-0.161011,37.021560,1.259600,0.026886,-0.057245
178.500000,51.509466,-0.160974,32.398089,1.255043,0.020815,-0.001690
179.000000,51.509485,-0.160999,34.825111,1.228395,0.038862,-0.060261
179.500000,51.509504,-0.161027,35.120686,1.227378,0.021983,-0.006460
180.000000,51.509511,-0.160989,39.387882,1.240777,-0.004241,-0.052568
180.500000,51.509491,-0.160949,40.390062,1.238322,0.012716,-0.015534
181.000000,51.509501,-0.160983,39.756141,1.225734,0.004048,0.017971
181.500000,51.509502,-0.160965,32.062106,1.238800,-0.015085,0.019180
182.000000,51.509503,-0.160964,34.960997,1.254422,-0.005397,0.021274
182.500000,51.509529,-0.160977,38.106537,1.244922,-0.009827,0.053901
183.000000,51.509528,-0.160953,39.034497,1.247065,0.022081,-0.004911
