Time(s),Latitude(deg),Longitude(deg),Damped Inst North(m/s),Damped Inst East(m/s)
147.000000,50.408161,-3.580390,-0.001674,0.029890
147.500000,50.408161,-3.580390,0.001172,-0.020923
148.000000,50.408161,-3.580390,-0.000820,0.014646
148.500000,50.408161,-3.580390,0.004200,-0.112155
149.000000,50.408161,-3.580390,-0.002940,0.078509
149.500000,50.408161,-3.580389,0.002736,0.080884
150.000000,50.408161,-3.580389,-0.001044,-0.022643
150.500000,50.408161,-3.580390,0.001778,-0.052136
151.000000,50.408161,-3.580389,-0.000866,0.070466
151.500000,50.408161,-3.580389,0.004065,0.154526
152.000000,50.408161,-3.580388,-0.003622,-0.040174
152.500000,50.408161,-3.580388,0.002536,0.028122
153.000000,50.408161,-3.580388,-0.003437,0.116241
153.500000,50.408161,-3.580388,0.001887,-0.217353
154.000000,50.408161,-3.580388,-0.001321,0.152147
154.500000,50.408161,-3.580389,-0.001560,-0.174449
155.000000,50.408161,-3.580389,0.001090,0.088121
155.500000,50.408161,-3.580389,-0.001078,-0.027688
156.000000,50.408161,-3.580388,0.001077,0.053379
156.500000,50.408161,-3.580389,-0.000296,-0.071346
157.000000,50.408161,-3.580388,-0.004953,0.185842
157.500000,50.408161,-3.580388,0.004180,-0.164080
158.000000,50.408161,-3.580388,-0.002836,0.080857
158.500000,50.408161,-3.580389,0.003938,-0.226566
159.000000,50.408161,-3.580389,-0.001925,0.192539
159.500000,50.408161,-3.580388,0.005408,-0.032928
160.000000,50.408161,-3.580388,-0.004806,0.091031
160.500000,50.408161,-3.580388,0.003364,-0.063722
161.000000,50.408161,-3.580388,-0.002854,-0.023373
161.500000,50.408161,-3.580388,0.001236,0.050352
162.000000,50.408161,-3.580388,-0.000865,-0.035246
162.500000,50.408161,-3.580389,-0.003365,-0.077240
163.000000,50.408161,-3.580389,0.001927,-0.081762
163.500000,50.408161,-3.580390,0.000988,-0.010721
164.000000,50.408161,-3.580389,-0.001453,0.041496
164.500000,50.408161,-3.580389,-0.001271,0.004841
165.000000,50.408161,-3.580389,-0.000948,0.030504
165.500000,50.408161,-3.580389,-0.001399,0.046576
166.000000,50.408161,-3.580389,-0.000894,0.001343
