Time(s),Latitude(deg),Longitude(deg),North(m/s),East(m/s)
158.500000,50.408491,-3.580752,-0.009243,-0.001854
159.000000,50.408491,-3.580752,-0.004995,0.001154
159.500000,50.408491,-3.580752,0.000707,0.001378
160.000000,50.408491,-3.580752,0.015227,0.003777
160.500000,50.408492,-3.580752,0.024745,0.011647
161.000000,50.408492,-3.580752,0.013118,-0.029140
161.500000,50.408492,-3.580752,0.042041,-0.006764
162.000000,50.408492,-3.580752,0.006105,0.005758
162.500000,50.408492,-3.580752,0.033862,0.004529
163.000000,50.408492,-3.580752,-0.057336,-0.007179
163.500000,50.408492,-3.580753,-0.029091,0.006322
164.000000,50.408492,-3.580752,0.009920,0.000288
164.500000,50.408492,-3.580752,0.036678,0.002938
165.000000,50.408492,-3.580752,-0.033754,-0.017351
165.500000,50.408492,-3.580752,-0.018021,0.011975
166.000000,50.408491,-3.580752,-0.020422,0.008041
166.500000,50.408491,-3.580752,0.000014,0.003977
167.000000,50.408491,-3.580752,0.037203,-0.015815
167.500000,50.408492,-3.580752,0.010925,0.013389
168.000000,50.408492,-3.580752,0.020703,-0.019508
168.500000,50.408492,-3.580752,0.026570,-0.009445
169.000000,50.408492,-3.580753,-0.000500,0.006692
169.500000,50.408492,-3.580752,0.006177,-0.000886
170.000000,50.408492,-3.580752,-0.012521,-0.001644
170.500000,50.408492,-3.580752,-0.019467,-0.002777
171.000000,50.408492,-3.580752,0.045633,-0.006298
171.500000,50.408492,-3.580753,-0.006262,-0.018189
172.000000,50.408492,-3.580752,0.037954,-0.022757
172.500000,50.408492,-3.580753,-0.016690,-0.003279
173.000000,50.408492,-3.580752,0.003093,0.012894
173.500000,50.408492,-3.580753,-0.006716,-0.019662
174.000000,50.408492,-3.580753,-0.032465,0.015215
174.500000,50.408492,-3.580753,-0.033677,-0.019088
175.000000,50.408491,-3.580753,0.016349,-0.006776
